iter	Passed	Remaining
0	1	268
1	2	188
2	3	159
3	4	154
4	5	144
5	6	136
6	6	127
7	7	119
8	7	114
9	8	111
10	9	107
11	9	103
12	10	100
13	10	96
14	11	93
15	12	93
16	12	91
17	13	92
18	14	91
19	15	90
20	15	89
21	16	88
22	17	87
23	17	86
24	18	85
25	19	84
26	20	84
27	21	84
28	21	83
29	22	82
30	23	82
31	24	81
32	24	80
33	25	79
34	26	78
35	26	77
36	27	76
37	28	75
38	28	74
39	29	73
40	30	73
41	31	72
42	31	71
43	32	70
44	33	69
45	33	69
46	34	68
47	35	67
48	35	66
49	36	66
50	37	65
51	38	64
52	38	63
53	39	62
54	40	61
55	40	61
56	41	60
57	42	59
58	43	59
59	43	58
60	44	57
61	45	56
62	45	56
63	46	55
64	47	55
65	48	54
66	49	53
67	49	52
68	50	51
69	51	51
70	51	50
71	52	49
72	53	49
73	54	48
74	55	47
75	55	46
76	56	46
77	57	45
78	57	44
79	58	43
80	59	43
81	59	42
82	60	41
83	61	40
84	62	40
85	62	39
86	63	38
87	64	37
88	64	37
89	65	36
90	66	35
91	66	34
92	67	34
93	68	33
94	69	32
95	70	32
96	71	31
97	71	30
98	72	30
99	73	29
100	74	28
101	75	27
102	75	27
103	76	26
104	77	25
105	77	24
106	78	24
107	79	23
108	80	22
109	81	22
110	81	21
111	82	20
112	83	19
113	84	19
114	84	18
115	85	17
116	86	16
117	86	16
118	87	15
119	88	14
120	89	14
121	89	13
122	90	12
123	91	11
124	92	11
125	92	10
126	93	9
127	94	8
128	95	8
129	95	7
130	96	6
131	97	5
132	98	5
133	98	4
134	99	3
135	100	2
136	101	2
137	101	1
138	102	0
139	103	0
